DATE,COMNAM,TICKER,RET
20100630,TESLA MOTORS INC,TSLA,-0.002511
20100701,TESLA MOTORS INC,TSLA,-0.078473
20100702,TESLA MOTORS INC,TSLA,-0.125683
20100706,TESLA MOTORS INC,TSLA,-0.160938
20100707,TESLA MOTORS INC,TSLA,-0.019243
20100708,TESLA MOTORS INC,TSLA,0.105063
20100709,TESLA MOTORS INC,TSLA,-0.003436
20100712,TESLA MOTORS INC,TSLA,-0.020115
20100713,TESLA MOTORS INC,TSLA,0.063930
20100714,TESLA MOTORS INC,TSLA,0.093716
20100715,TESLA MOTORS INC,TSLA,0.002520
20100716,TESLA MOTORS INC,TSLA,0.037707
20100719,TESLA MOTORS INC,TSLA,0.061531
20100720,TESLA MOTORS INC,TSLA,-0.073482
20100721,TESLA MOTORS INC,TSLA,-0.003941
20100722,TESLA MOTORS INC,TSLA,0.038576
20100723,TESLA MOTORS INC,TSLA,0.013810
20100726,TESLA MOTORS INC,TSLA,-0.015970
20100727,TESLA MOTORS INC,TSLA,-0.019093
20100728,TESLA MOTORS INC,TSLA,0.008273
20100729,TESLA MOTORS INC,TSLA,-0.017857
20100730,TESLA MOTORS INC,TSLA,-0.020147
20100802,TESLA MOTORS INC,TSLA,0.049147
20100803,TESLA MOTORS INC,TSLA,0.049235
20100804,TESLA MOTORS INC,TSLA,-0.031435
20100805,TESLA MOTORS INC,TSLA,-0.038100
20100806,TESLA MOTORS INC,TSLA,-0.042054
20100809,TESLA MOTORS INC,TSLA,0.000510
20100810,TESLA MOTORS INC,TSLA,-0.029082
20100811,TESLA MOTORS INC,TSLA,-0.059380
20100812,TESLA MOTORS INC,TSLA,-0.016760
20100813,TESLA MOTORS INC,TSLA,0.040909
20100816,TESLA MOTORS INC,TSLA,0.025109
20100817,TESLA MOTORS INC,TSLA,0.019702
20100818,TESLA MOTORS INC,TSLA,-0.019843
20100819,TESLA MOTORS INC,TSLA,0.001066
20100820,TESLA MOTORS INC,TSLA,0.016498
20100823,TESLA MOTORS INC,TSLA,0.053927
20100824,TESLA MOTORS INC,TSLA,-0.046200
20100825,TESLA MOTORS INC,TSLA,0.036458
20100826,TESLA MOTORS INC,TSLA,-0.007538
20100827,TESLA MOTORS INC,TSLA,-0.002532
20100830,TESLA MOTORS INC,TSLA,0.008629
20100831,TESLA MOTORS INC,TSLA,-0.019628
20100901,TESLA MOTORS INC,TSLA,0.049795
20100902,TESLA MOTORS INC,TSLA,0.029829
20100903,TESLA MOTORS INC,TSLA,-0.000475
20100907,TESLA MOTORS INC,TSLA,-0.024228
20100908,TESLA MOTORS INC,TSLA,0.017527
20100909,TESLA MOTORS INC,TSLA,-0.009091
20100910,TESLA MOTORS INC,TSLA,-0.026074
20100913,TESLA MOTORS INC,TSLA,0.027268
20100914,TESLA MOTORS INC,TSLA,0.019305
20100915,TESLA MOTORS INC,TSLA,0.040720
20100916,TESLA MOTORS INC,TSLA,-0.047316
20100917,TESLA MOTORS INC,TSLA,-0.033906
20100920,TESLA MOTORS INC,TSLA,0.040781
20100921,TESLA MOTORS INC,TSLA,-0.013536
20100922,TESLA MOTORS INC,TSLA,-0.043332
20100923,TESLA MOTORS INC,TSLA,-0.015601
20100924,TESLA MOTORS INC,TSLA,0.027607
20100927,TESLA MOTORS INC,TSLA,0.021393
20100928,TESLA MOTORS INC,TSLA,0.042377
20100929,TESLA MOTORS INC,TSLA,0.027103
20100930,TESLA MOTORS INC,TSLA,-0.071656
20101001,TESLA MOTORS INC,TSLA,0.009556
20101004,TESLA MOTORS INC,TSLA,0.018932
20101005,TESLA MOTORS INC,TSLA,0.006193
20101006,TESLA MOTORS INC,TSLA,-0.031250
20101007,TESLA MOTORS INC,TSLA,-0.001466
20101008,TESLA MOTORS INC,TSLA,0.000000
20101011,TESLA MOTORS INC,TSLA,-0.009300
20101012,TESLA MOTORS INC,TSLA,0.000000
20101013,TESLA MOTORS INC,TSLA,0.014822
20101014,TESLA MOTORS INC,TSLA,0.010224
20101015,TESLA MOTORS INC,TSLA,-0.010120
20101018,TESLA MOTORS INC,TSLA,-0.015093
20101019,TESLA MOTORS INC,TSLA,-0.008898
20101020,TESLA MOTORS INC,TSLA,0.029925
20101021,TESLA MOTORS INC,TSLA,0.004843
20101022,TESLA MOTORS INC,TSLA,-0.001446
20101025,TESLA MOTORS INC,TSLA,0.006274
